Strategy,Transaction Cost,Cost Rate,OOS CAGR,OOS Sharpe,OOS Maximum Drawdown
Equal Weight,5 bps,0.0005,0.10181170770015058,0.9379756222110012,-0.17997156535660197
Equal Weight,10 bps,0.001,0.10165413549095104,0.9366882085782964,-0.1800798391470685
Equal Weight,25 bps,0.0025,0.10118154054370532,0.9328254341985084,-0.18040458481907595
Inverse Volatility,5 bps,0.0005,0.07327141639232959,0.8174149982553472,-0.1868958936963273
Inverse Volatility,10 bps,0.001,0.07276699785523832,0.812320011512424,-0.18714809886814077
Inverse Volatility,25 bps,0.0025,0.0712550073242082,0.797027369807416,-0.18790431154088516
Trend + Equal Weight,5 bps,0.0005,0.07030146080107769,1.0238644694181873,-0.09502169081671274
Trend + Equal Weight,10 bps,0.001,0.069580968546741,1.0140553638485548,-0.09517399007866167
Trend + Equal Weight,25 bps,0.0025,0.06742196302238601,0.9845857760170191,-0.09563080262690904
Trend + Inverse Volatility,5 bps,0.0005,0.05711765982384187,1.002315187699908,-0.08089992617356201
Trend + Inverse Volatility,10 bps,0.001,0.0561737033219738,0.9867024752626568,-0.08224669712846222
Trend + Inverse Volatility,25 bps,0.0025,0.053346239307747734,0.9397830105812988,-0.08627614725206523
